epoch,step,train_acc,train_loss,val_acc,val_loss
0,30,,,0.9508196711540222,0.47334715723991394
0,30,0.868852436542511,0.5510914325714111,,
1,61,,,0.9508196711540222,0.3324507474899292
1,61,0.9057376980781555,0.45303407311439514,,
2,92,,,0.9508196711540222,0.2210274338722229
2,92,0.75,0.3843783736228943,,
3,123,,,0.9508196711540222,0.2507857084274292
3,123,0.5963114500045776,0.37351128458976746,,
4,154,,,0.9508196711540222,0.24183696508407593
4,154,0.6168032884597778,0.33697253465652466,,
5,185,,,0.9508196711540222,0.23656396567821503
5,185,0.6168032884597778,0.3172098696231842,,
6,216,,,0.9508196711540222,0.2168523222208023
6,216,0.6229507923126221,0.3186495006084442,,
7,247,,,0.9508196711540222,0.18000368773937225
7,247,0.6557376980781555,0.30751681327819824,,
8,278,,,0.9508196711540222,0.19347259402275085
8,278,0.7008196711540222,0.29928722977638245,,
9,309,,,0.9508196711540222,0.18481019139289856
9,309,0.7684426307678223,0.29376861453056335,,
10,340,,,0.9508196711540222,0.1790919154882431
10,340,0.8524590134620667,0.2950647175312042,,
11,371,,,0.9508196711540222,0.18128445744514465
11,371,0.8627049326896667,0.2974909842014313,,
12,402,,,0.9508196711540222,0.17265377938747406
12,402,0.9077869057655334,0.2665652632713318,,
